Exchange,Base,Quote,Maker,Taker
bitfinex,ETH,BTC,0.001,0.002
bitfinex,LTC,BTC,0.001,0.002
bitfinex,ETC,BTC,0.001,0.002
bitfinex,EOS,BTC,0.001,0.002
bitfinex,IOTA,BTC,0.001,0.002
bitfinex,DASH,BTC,0.001,0.002
bitfinex,ZEC,BTC,0.001,0.002
bitfinex,OMG,BTC,0.001,0.002
bitfinex,XRP,BTC,0.001,0.002
bitfinex,SAN,BTC,0.001,0.002
bitfinex,XMR,BTC,0.001,0.002
bitfinex,BCU,BTC,0.001,0.002
bitfinex,BCC,BTC,0.001,0.002
bitfinex,RRT,BTC,0.001,0.002
bitfinex,EOS,ETH,0.001,0.002
bitfinex,IOTA,ETH,0.001,0.002
bitfinex,OMG,ETH,0.001,0.002
bitfinex,SAN,ETH,0.001,0.002
