Exchange,Base,Quote,Maker,Taker
bittrex,BTC,ETH,0.0025,0.0025
bittrex,BTC,LTC,0.0025,0.0025
bittrex,BTC,ANS,0.0025,0.0025
bittrex,BTC,XRP,0.0025,0.0025
bittrex,BTC,ETC,0.0025,0.0025
bittrex,BTC,STRAT,0.0025,0.0025
bittrex,BTC,SYNX,0.0025,0.0025
bittrex,BTC,DASH,0.0025,0.0025
bittrex,BTC,DGB,0.0025,0.0025
bittrex,ETH,LTC,0.0025,0.0025
bittrex,ETH,ETC,0.0025,0.0025
bittrex,ETH,BNT,0.0025,0.0025
bittrex,ETH,XRP,0.0025,0.0025
bittrex,ETH,GNT,0.0025,0.0025
bittrex,ETH,PAY,0.0025,0.0025
bittrex,ETH,SNT,0.0025,0.0025
bittrex,ETH,FUN,0.0025,0.0025
