Exchange,Base,Quote,Maker,Taker
poloinex,BTC,ETH,0.0015,0.0025
poloinex,BTC,XRP,0.0015,0.0025
poloinex,BTC,LTC,0.0015,0.0025
poloinex,BTC,STR,0.0015,0.0025
poloinex,BTC,ETC,0.0015,0.0025
poloinex,BTC,GNT,0.0015,0.0025
poloinex,BTC,DASH,0.0015,0.0025
poloinex,BTC,BTS,0.0015,0.0025
poloinex,BTC,STRAT,0.0015,0.0025
poloinex,BTC,SC,0.0015,0.0025
poloinex,BTC,DGB,0.0015,0.0025
poloinex,BTC,XMR,0.0015,0.0025
poloinex,BTC,FCT,0.0015,0.0025
poloinex,BTC,ZEC,0.0015,0.0025
poloinex,BTC,XEM,0.0015,0.0025
poloinex,BTC,DOGE,0.0015,0.0025
poloinex,BTC,STEEM,0.0015,0.0025
poloinex,BTC,CLAM,0.0015,0.0025
poloinex,BTC,REP,0.0015,0.0025
poloinex,BTC,MAID,0.0015,0.0025
poloinex,ETH,ETC,0.0015,0.0025
poloinex,ETH,GNT,0.0015,0.0025
poloinex,ETH,ZEC,0.0015,0.0025
poloinex,ETH,GNO,0.0015,0.0025
poloinex,ETH,REP,0.0015,0.0025
poloinex,ETH,LSK,0.0015,0.0025
poloinex,ETH,STEEM,0.0015,0.0025
poloinex,XMR,LTC,0.0015,0.0025
poloinex,XMR,ZEC,0.0015,0.0025
poloinex,XMR,DASH,0.0015,0.0025
poloinex,XMR,MAID,0.0015,0.0025
poloinex,XMR,BCN,0.0015,0.0025
poloinex,XMR,NXT,0.0015,0.0025
poloinex,XMR,BTCD,0.0015,0.0025
poloinex,XMR,BLK,0.0015,0.0025
